title,timesCited,year,percentNonCS,numAuths
Evolutionary Optimization of Software Quality Modeling with Multiple Repositories,114,2010,0.0,3
Using Genetic Search for Reverse Engineering of Parametric Behavior Models for Performance Prediction,70,2010,0.0,3
The Effects of Time Constraints on Test Case Prioritization: A Series of Controlled Experiments,136,2010,0.0,4
What Makes a Good Bug Report?,446,2010,0.0,5
Context-Aware Adaptive Applications: Fault Patterns and Their Automated Identification,93,2010,0.0,5
A Comparison of Six UML-Based Languages for Software Process Modeling,108,2010,0.0,4
How Reliable Are Systematic Reviews in Empirical Software Engineering?,83,2010,0.0,4
Reverse Engineering Input Syntactic Structure from Program Execution and Its Applications,,2010,0.0,3
Stressing Search with Scenarios for Flexible Solutions to Real-Time Task Allocation Problems,23,2010,0.0,2
Time and Probability-Based Information Flow Analysis,15,2010,0.0,3
An Experience in Testing the Security of Real-World Electronic Voting Systems,52,2010,0.0,5
Finding Bugs in Web Applications Using Dynamic Test Generation and Explicit-State Model Checking,164,2010,0.0,6
Proofs from Tests,179,2010,33.3333333333333,5
Aspect-Oriented Race Detection in Java,35,2010,0.0,2
The Probabilistic Program Dependence Graph and Its Application to Fault Diagnosis,181,2010,0.0,3
Learning a Metric for Code Readability,187,2010,33.3333333333333,2
Assessing Software Service Quality and Trustworthiness at Selection Time,146,2010,100.0,2
Evaluation of Accuracy in Design Pattern Occurrence Detection,62,2010,0.0,3
Incremental Test Generation for Software Product Lines,91,2010,0.0,3
Software Reliability and Testing Time Allocation: An Architecture-Based Approach,87,2010,0.0,3
Verification and Trade-Off Analysis of Security Properties in UML System Models,32,2010,0.0,5
Vulnerability Discovery with Attack Injection,52,2010,0.0,5
Discovering Services during Service-Based System Design Using UML,49,2010,0.0,2
Learning Communicating Automata from MSCs,25,2010,0.0,4
On Event-Based Middleware for Location-Aware Mobile Applications,34,2010,25.0,2
Program Behavior Discovery and Verification: A Graph Grammar Approach,34,2010,0.0,3
Understanding Exception Handling: Viewpoints of Novices and Experts,56,2010,0.0,3
Exception Handling Patterns for Process Modeling,131,2010,0.0,5
A Framework for Programming Robust Context-Aware Applications,58,2010,0.0,2
Exception Handling for Repair in Service-Based Processes,134,2010,0.0,5
A Quantitative Investigation of the Acceptable Risk Levels of Object-Oriented Metrics in Open-Source Systems,124,2010,0.0,1
"A Theoretical and Empirical Study of Search-Based Testing: Local, Global, and Hybrid Search",338,2010,0.0,2
Bayesian Approaches to Matching Architectural Diagrams,12,2010,0.0,4
Engineering a Sound Assertion Semantics for the Verifying Compiler,13,2010,0.0,1
Service-Level Agreements for Electronic Services,69,2010,100.0,3
Better Debugging via Output Tracing and Callstack-Sensitive Slicing,42,2010,0.0,3
DECOR: A Method for the Specification and Detection of Code and Design Smells,557,2010,0.0,4
Directed Explicit State-Space Search in the Generation of Counterexamples for Stochastic Model Checking,61,2010,0.0,2
Effects of Personality on Pair Programming,141,2010,20.0,4
Generating Event Sequence-Based Test Cases Using GUI Runtime State Feedback,126,2010,0.0,2
How Developers' Experience and Ability Influence Web Application Comprehension Tasks Supported by UML Stereotypes: A Series of Four Experiments,79,2010,0.0,5
Providing Architectural Languages and Tools Interoperability through Model Transformation Technologies,105,2010,0.0,4
A Dynamic Slicing Technique for UML Architectural Models,42,2011,0.0,2
"Evaluating Complexity, Code Churn, and Developer Activity Metrics as Indicators of Software Vulnerabilities",292,2011,0.0,4
Measuring the Discriminative Power of Object-Oriented Class Cohesion Metrics,65,2011,0.0,1
Preventing Temporal Violations in Scientific Workflows: Where and How,58,2011,0.0,4
Putting Preemptive Time Petri Nets to Work in a V-Model SW Life Cycle,17,2011,25.0,3
Swarm Verification Techniques,78,2011,0.0,3
Tuning Temporal Features within the Stochastic π-Calculus,,2011,0.0,3
On the Distribution of Bugs in the Eclipse System,47,2011,0.0,5
A Classification Framework for Software Component Models,276,2011,0.0,4
A Comparison of Tabular Expression-Based Testing Strategies,10,2011,0.0,4
A Risk Management Methodology for Project Risk Dependencies,86,2011,50.0,2
An Analysis and Survey of the Development of Mutation Testing,1186,2011,4.76190476190476,2
Dynamic Software Updating Using a Relaxed Consistency Model,54,2011,0.0,5
The Impact of Irrelevant and Misleading Information on Software Development Effort Estimates: A Randomized Controlled Field Experiment,52,2011,0.0,2
Toward a Formalism for Conservative Claims about the Dependability of Software-Based Systems,28,2011,0.0,5
WAM—The Weighted Average Method for Predicting the Performance of Systems with Bursts of Customer Sessions,,2011,0.0,3
A Controlled Experiment for Evaluating the Impact of Coupling on the Maintainability of Service-Oriented Software,53,2011,0.0,2
A Flowchart Language for Quantum Programming,18,2011,0.0,2
Dynamic Analysis for Diagnosing Integration Faults,92,2011,0.0,3
Empirical Studies of Pair Programming for CS/SE Teaching in Higher Education: A Systematic Literature Review,,2011,20.0,3
FlowTalk: Language Support for Long-Latency Operations in Embedded Devices,4,2011,0.0,4
Frameworks Generate Domain-Specific Languages: A Case Study in the Multimedia Domain,19,2011,0.0,2
GUI Interaction Testing: Incorporating Event Context,187,2011,0.0,3
Zebu: A Language-Based Approach for Network Protocol Message Processing,24,2011,50.0,4
Does Socio-Technical Congruence Have an Effect on Software Build Success? A Study of Coordination in a Software Project,102,2011,0.0,3
"The Awareness Network, To Whom Should I Display My Actions? And, Whose Actions Should I Monitor?",96,2011,0.0,2
A Controlled Experiment for Program Comprehension through Trace Visualization,119,2011,0.0,3
A General Software Defect-Proneness Prediction Framework,273,2011,0.0,5
An Attack Surface Metric,553,2011,0.0,2
Dynamic QoS Management and Optimization in Service-Based Systems,333,2011,0.0,5
Efficient Consistency Measurement Based on Behavioral Profiles of Process Models,248,2011,0.0,3
Which Crashes Should I Fix First?: Predicting Top Crashes at an Early Stage to Prioritize Debugging Efforts,69,2011,33.3333333333333,6
A Comparative Study of Software Model Checkers as Unit Testing Tools: An Industrial Case Study,36,2011,0.0,3
"Assessing, Comparing, and Combining State Machine-Based Testing and Structural Testing: A Series of Experiments",72,2011,14.2857142857143,4
Automatically Detecting and Tracking Inconsistencies in Software Design Models,113,2011,0.0,1
Improving Source Code Lexicon via Traceability and Information Retrieval,61,2011,0.0,3
Loupe: Verifying Publish-Subscribe Architectures with a Magnifying Lens,15,2011,0.0,3
Self-Supervising BPEL Processes,137,2011,0.0,2
Software Module Clustering as a Multi-Objective Search Problem,269,2011,0.0,3
Systematic review and aggregation of empirical studies on elicitation techniques,,2011,12.5,2
Bristlecone: Language Support for Robust Software Applications,10,2011,0.0,2
Deriving a Slicing Algorithm via FermaT Transformations,16,2011,0.0,2
Developing a Single Model and Test Prioritization Strategies for Event-Driven Software,138,2011,0.0,3
From UML to Petri Nets: The PCM-Based Methodology,60,2011,0.0,3
Genetic Algorithms for Randomized Unit Testing,87,2011,0.0,3
Plat_Forms: A Web Development Platform Comparison by an Exploratory Experiment Searching for Emergent Platform Properties,28,2011,66.6666666666667,1
"Semi-Proving: An Integrated Method for Program Proving, Testing, and Debugging",59,2011,0.0,3
Verifying the Evolution of Probability Distributions Governed by a DTMC,11,2011,0.0,2
A Comprehensive Approach to Naming and Accessibility in Refactoring Java Programs,24,2012,0.0,4
A Static Approach to Prioritizing JUnit Test Cases,104,2012,0.0,6
A Systematic Literature Review on Fault Prediction Performance in Software Engineering,,2012,0.0,5
Analyzing the Effect of Gain Time on Soft-Task Scheduling Policies in Real-Time Systems,6,2012,3.2258064516129,4
Architecture-Based Reliability Prediction with the Palladio Component Model,104,2012,0.0,4
Evaluating Dynamic Software Update Safety Using Systematic Testing,41,2012,0.0,5
Matching and Merging of Variant Feature Specifications,32,2012,14.2857142857143,5
Modeling Product Line Software Assets Using Domain-Specific Kits,14,2012,0.0,4
On the Value of Ensemble Effort Estimation,187,2012,0.0,3
Programmer-Friendly Refactoring Errors,17,2012,0.0,2
The Link between Dependency and Cochange: Empirical Evidence,25,2012,0.0,2
Toward a Tool-Based Development Methodology for Pervasive Computing Applications,59,2012,0.0,4
Two Studies of Framework-Usage Templates Extracted from Dynamic Traces,18,2012,66.6666666666667,4
A Practical Approach to Size Estimation of Embedded Software Components,12,2012,0.0,2
Clone Management for Evolving Software,102,2012,0.0,5
Coping with Existing Systems in Information Systems Development,3,2012,0.0,2
Dealing with Burstiness in Multi-Tier Applications: Models and Their Parameterization,48,2012,0.0,4
Structural Complexity and Programmer Team Strategy: An Experimental Test,17,2012,0.0,3
Exemplar: A Source Code Search Engine for Finding Highly Relevant Applications,99,2012,0.0,5
Formal Analysis of the Probability of Interaction Fault Detection Using Random Testing,50,2012,33.3333333333333,2
Formal Specification-Based Inspection for Verification of Programs,31,2012,0.0,4
Mining Crosscutting Concerns through Random Walks,13,2012,0.0,2
MOSES: A Framework for QoS Driven Runtime Adaptation of Service-Oriented Systems,171,2012,0.0,5
Precise Calling Context Encoding,60,2012,0.0,4
"Reasoning about the Reliability of Diverse Two-Channel Systems in Which One Channel Is ""Possibly Perfect""",39,2012,0.0,2
Solving the Large Scale Next Release Problem with a Backbone-Based Multilevel Algorithm,72,2012,0.0,4
What Do We Know about the Effectiveness of Software Design Patterns?,95,2012,0.0,2
A Semi-Automatic Approach for Extracting Software Product Lines,32,2012,0.0,3
Adaptation of Service Protocols Using Process Algebra and On-the-Fly Reduction Techniques,,2012,0.0,3
BURN: Enabling Workload Burstiness in Customized Service Benchmarks,14,2012,0.0,4
"DESSERT: a DividE-and-conquer methodology for identifying categorieS, choiceS, and choicE Relations for Test case generation",16,2012,0.0,4
Does Software Process Improvement Reduce the Severity of Defects? A Longitudinal Field Study,52,2012,0.0,3
Domain-Specific Service Selection for Composite Services,42,2012,0.0,3
Finding Atomicity-Violation Bugs through Unserializable Interleaving Testing,22,2012,0.0,3
Fluid Rewards for a Stochastic Process Algebra,30,2012,0.0,4
Mutable Protection Domains: Adapting System Fault Isolation for Reliability and Efficiency,10,2012,0.0,2
Palantir: Early Detection of Development Conflicts Arising from Parallel Code Changes,89,2012,0.0,3
Pert: The Application-Aware Tailoring of Java Object Persistence,4,2012,0.0,2
Quality Requirements in Industrial Practice—An Extended Interview Study at Eleven Companies,,2012,0.0,4
Size-Constrained Regression Test Case Selection Using Multicriteria Optimization,64,2012,0.0,3
SMT-Based Bounded Model Checking for Embedded ANSI-C Software,250,2012,0.0,3
Tools for the Rapid Prototyping of Provably Correct Ambient Intelligence Applications,26,2012,0.0,2
A Theoretical and Empirical Analysis of the Role of Test Sequence Length in Software Testing for Structural Coverage,34,2012,0.0,1
An Autonomous Engine for Services Configuration and Deployment,16,2012,0.0,3
Comparing Semi-Automated Clustering Methods for Persona Development,16,2012,0.0,3
Comparing the Defect Reduction Benefits of Code Inspection and Test-Driven Development,30,2012,0.0,3
DEC: Service Demand Estimation with Confidence,33,2012,0.0,4
Exploiting Dynamic Information in IDEs Improves Speed and Correctness of Software Maintenance Tasks,37,2012,0.0,5
Model Checking Semantically Annotated Services,40,2012,0.0,3
On the Evolution of Services,115,2012,0.0,3
Oracles for Distributed Testing,33,2012,0.0,1
Pointcut Rejuvenation: Recovering Pointcut Expressions in Evolving Aspect-Oriented Software,26,2012,0.0,4
QoS Assurance for Dynamic Reconfiguration of Component-Based Software Systems,32,2012,0.0,1
Software Development Estimation Biases: The Role of Interdependence,36,2012,100.0,2
Specifying Dynamic Analyses by Extending Language Semantics,1,2012,0.0,3
StakeRare: Using Social Networks and Collaborative Filtering for Large-Scale Requirements Elicitation,147,2012,0.0,2
Automatically Generating Test Cases for Specification Mining,61,2012,0.0,5
Random Testing: Theoretical Results and Practical Implications,134,2012,0.0,3
Mutation-Driven Generation of Unit Tests and Oracles,330,2012,0.0,2
Automatic Detection of Unsafe Dynamic Component Loadings,11,2012,0.0,2
Fault Localization for Dynamic Web Applications,42,2012,0.0,4
A Model of Data Warehousing Process Maturity,67,2012,0.0,3
A UML/MARTE Model Analysis Method for Uncovering Scenarios Leading to Starvation and Deadlocks in Concurrent Systems,30,2012,0.0,3
Data Mining Techniques for Software Effort Estimation: A Comparative Study,192,2012,0.0,4
Evaluation and Measurement of Software Process Improvement—A Systematic Literature Review,,2012,0.0,4
Exploiting the Essential Assumptions of Analogy-Based Effort Estimation,165,2012,0.0,4
Forecasting Risk Impact on ERP Maintenance with Augmented Fuzzy Cognitive Maps,87,2012,0.0,2
"Input Domain Reduction through Irrelevant Variable Removal and Its Effect on Local, Global, and Hybrid Search-Based Structural Test Data Generation",66,2012,0.0,5
PerLa: A Language and Middleware Architecture for Data Management and Integration in Pervasive Information Systems,64,2012,0.0,5
"How We Refactor, and How We Know It",493,2012,0.0,3
Work Item Tagging: Communicating Concerns in Collaborative Software Development,52,2012,0.0,2
Invariant-Based Automatic Testing of Modern Web Applications,133,2012,0.0,3
GenProg: A Generic Method for Automatic Software Repair,512,2012,0.0,4
Aspectizing Java Access Control,24,2012,0.0,4
Aspect-Oriented Refactoring of Legacy Applications: An Evaluation,37,2012,0.0,3
Automated Abstractions for Contract Validation,34,2012,0.0,4
Defining and Evaluating a Measure of Open Source Project Survivability,37,2012,0.0,2
Measuring Code Quality to Improve Specification Mining,39,2012,66.6666666666667,2
Reducing Unauthorized Modification of Digital Objects,8,2012,100.0,2
Scalable Differential Analysis of Process Algebra Models,120,2012,0.0,3
Schedule of Bad Smell Detection and Resolution: A New Way to Save Effort,95,2012,33.3333333333333,4
A Study of Variability Models and Languages in the Systems Software Domain,107,2013,0.0,5
"Conservative Bounds for the pfd of a 1-out-of-2 Software-Based System Based on an Assessor's Subjective Probability of ""Not Worse Than Independence""",7,2013,0.0,2
"Identification, Impact, and Refactoring of Smells in Pipe-Like Web Mashups",19,2013,0.0,2
Identifying Code of Individual Features in Client-Side Web Applications,28,2013,100.0,4
Learning Project Management Decisions: A Case Study with Case-Based Reasoning versus Data Farming,6,2013,100.0,6
"Proactive Self-Adaptation for Improving the Reliability of Mission-Critical, Embedded, and Mobile Software",17,2013,0.0,4
Supporting Domain Analysis through Mining and Recommending Features from Online Product Listings,78,2013,0.0,5
"Task Environment Complexity, Global Team Dispersion, Process Capabilities, and Coordination in Software Development",29,2013,0.0,3
A Learning-Based Framework for Engineering Feature-Oriented Self-Adaptive Software Systems,71,2013,1.72413793103448,3
A Taxonomy and Mapping of Computer-Based Critiquing Tools,,2013,0.0,3
"Conservative Reasoning about the Probability of Failure on Demand of a 1-out-of-2 Software-Based System in Which One Channel Is ""Possibly Perfect""",6,2013,13.3333333333333,2
Determining the Cause of a Design Model Inconsistency,23,2013,3.33333333333333,2
Equality to Equals and Unequals: A Revisit of the Equivalence and Nonequivalence Criteria in Class-Level Testing of Object-Oriented Software,9,2013,0.0,2
Optimizing Ordered Throughput Using Autonomic Cloud Bursting Schedulers,26,2013,0.0,4
Usability through Software Design,58,2013,14.2857142857143,4
Where Should We Fix This Bug? A Two-Phase Recommendation Model,100,2013,23.0769230769231,4
A Uniform Representation of Hybrid Criteria for Regression Testing,41,2013,0.0,3
Assessing the Cost Effectiveness of Fault Prediction in Acceptance Testing,47,2013,0.0,5
Early Detection of Collaboration Conflicts and Risks,61,2013,0.0,4
Generating Test Data from OCL Constraints with Search Techniques,94,2013,0.0,4
Monitoring Data Usage in Distributed Systems,19,2013,50.0,4
The Impact of Classifier Configuration and Classifier Combination on Bug Localization,66,2013,0.0,4
Whitening SOA Testing via Event Exposure,30,2013,0.0,2
Capsule-Based User Interface Modeling for Large-Scale Applications,7,2013,0.0,2
Data Quality: Some Comments on the NASA Software Defect Datasets,219,2013,4.76190476190476,4
Generating Test Cases for Real-Time Systems Based on Symbolic Models,20,2013,0.0,2
Model-Based Test Oracle Generation for Automated Unit Testing of Agent Systems,53,2013,0.0,4
OBEY: Optimal Batched Refactoring Plan Execution for Class Responsibility Redistribution,6,2013,25.0,3
Patterns of Knowledge in API Reference Documentation,82,2013,0.0,2
TACO: Efficient SAT-Based Bounded Verification Using Symmetry Breaking and Tight Bounds,39,2013,0.0,4
Verifying Protocol Conformance Using Software Model Checking for the Model-Driven Development of Embedded Systems,8,2013,0.0,3
Active learning and effort estimation: Finding the essential content of software effort estimation data,55,2013,2.08333333333333,5
Balancing Privacy and Utility in Cross-Company Defect Prediction,69,2013,0.0,4
Featured Transition Systems: Foundations for Verifying Variability-Intensive Systems and Their Application to LTL Model Checking,164,2013,0.0,4
MADMatch: Many-to-Many Approximate Diagram Matching for Design Comparison,23,2013,0.0,5
Monitor-Based Instant Software Refactoring,35,2013,50.0,3
Name-Based Analysis of Equally Typed Method Arguments,5,2013,0.0,2
Quantifying the Effect of Code Smells on Maintenance Effort,211,2013,2.38095238095238,5
Session Reliability of Web Systems under Heavy-Tailed Workloads: An Approach Based on Design and Analysis of Experiments,10,2013,20.0,2
Software Reliability Modeling with Software Metrics Data via Gaussian Processes,13,2013,0.0,3
Amorphous Slicing of Extended Finite State Machines,24,2013,0.0,5
EDZL Schedulability Analysis in Real-Time Multicore Scheduling,3,2013,0.0,2
Embedding Polychrony into Synchrony,14,2013,0.0,5
"Pair Programming and Software Defects--A Large, Industrial Case Study",63,2013,0.0,5
Proactive and Reactive Runtime Service Discovery: A Framework and Its Evaluation,34,2013,0.0,4
Synthesizing Modal Transition Systems from Triggered Scenarios,19,2013,0.0,4
Trends in the Quality of Human-Centric Software Engineering Experiments--A Quasi-Experiment,18,2013,0.0,5
Verifying Linearizability via Optimized Refinement Checking,24,2013,0.0,6
A fluid model for layered queueing networks,33,2013,0.0,1
A large-scale empirical study of just-in-time quality assurance,191,2013,0.0,5
Abstracting runtime heaps for program understanding,27,2013,0.0,4
An Empirical Evaluation of Mutation Testing for Improving the Test Quality of Safety-Critical Software,47,2013,0.0,2
Event Logs for the Analysis of Software Failures: A Rule-Based Approach,48,2013,4.08163265306122,3
Local versus Global Lessons for Defect Prediction and Effort Estimation,160,2013,0.0,6
The Effects of Test-Driven Development on External Quality and Productivity: A Meta-Analysis,,2013,0.0,2
Using Timed Automata for Modeling Distributed Systems with Clocks: Challenges and Solutions,17,2013,3.7037037037037,2
What Industry Needs from Architectural Languages: A Survey,224,2013,0.0,5
A decentralized self-adaptation mechanism for service-based applications in the cloud,89,2013,33.3333333333333,2
Automated API Property Inference Techniques,130,2013,0.0,5
Compositional Verification for Hierarchical Scheduling of Real-Time Systems,33,2013,0.0,3
Software Architecture Optimization Methods: A Systematic Literature Review,,2013,0.0,5
Test Case-Aware Combinatorial Interaction Testing,24,2013,0.0,1
The Role of the Tester's Knowledge in Exploratory Software Testing,69,2013,1.38888888888889,3
Trustrace: Mining Software Repositories to Improve the Accuracy of Requirement Traceability Links,74,2013,0.0,3
A Machine Learning Approach to Software Requirements Prioritization,92,2013,0.0,3
A Second Replicated Quantitative Analysis of Fault Distributions in Complex Software Systems,38,2013,0.0,3
Coverage Estimation in Model Checking with Bitstate Hashing,4,2013,5.55555555555556,3
Generating Domain-Specific Visual Language Tools from Abstract Visual Specifications,31,2013,2.7027027027027,6
Locating Need-to-Externalize Constant Strings for Software Internationalization with Generalized String-Taint Analysis,5,2013,0.0,5
Ranking and Clustering Software Cost Estimation Models through a Multiple Comparisons Algorithm,109,2013,0.0,2
Reducing Features to Improve Code Change-Based Bug Prediction,154,2013,1.92307692307692,4
Validating Second-Order Mutation at System Level,28,2013,0.0,3
A Quantitative Approach to Input Generation in Real-Time Testing of Stochastic Systems,5,2013,0.0,3
Alloy Meets the Algebra of Programming: A Case Study,12,2013,0.0,2
Assessing the Effectiveness of Sequence Diagrams in the Comprehension of Functional Requirements: Results from a Family of Five Experiments,54,2013,0.0,5
Coordination Breakdowns and Their Impact on Development Productivity and Software Failures,106,2013,0.0,2
Elaborating Requirements Using Model Checking and Inductive Learning,27,2013,0.0,4
"Resource Management for Complex, Dynamic Environments",28,2013,7.69230769230769,2
Self-Management of Adaptable Component-Based Applications,33,2013,0.0,5
Self-Organizing Roles on Agile Software Development Teams,158,2013,0.0,3
Automated Behavioral Testing of Refactoring Engines,,2013,0.0,3
Centroidal Voronoi Tessellations- A New Approach to Random Testing,50,2013,0.0,3
"Class Schema Evolution for Persistent Object-Oriented Software: Model, Empirical Study, and Automated Support",9,2013,11.1111111111111,3
"How Programmers Debug, Revisited: An Information Foraging Theory Perspective",119,2013,0.0,5
Integer Linear Programming-Based Property Checking for Asynchronous Reactive Systems,5,2013,33.3333333333333,2
Toward Comprehensible Software Fault Prediction Models Using Bayesian Network Classifiers,139,2013,0.0,3
Using Dependency Structures for Prioritization of Functional Test Suites,41,2013,6.45161290322581,2
Whole Test Suite Generation,328,2013,0.0,2
Ant Colony Optimization for Software Project Scheduling and Staffing with an Event-Based Scheduler,139,2013,0.0,2
Empirical Principles and an Industrial Case Study in Retrieving Equivalent Requirements via Natural Language Processing Techniques,80,2013,0.0,3
Identifying and Summarizing Systematic Code Changes via Rule Inference,53,2013,0.0,4
Language-Independent and Automated Software Composition: The FeatureHouse Experience,103,2013,0.0,3
On Fault Representativeness of Software Fault Injection,150,2013,0.0,4
Performance Specification and Evaluation with Unified Stochastic Probes and Fluid Analysis,32,2013,0.0,3
Systematic Elaboration of Scalability Requirements through Goal-Obstacle Analysis,30,2013,0.0,3
An Empirical Methodology to Evaluate Vulnerability Discovery Models,31,2014,42.5531914893617,2
Construction and Validation of an Instrument for Measuring Programming Skill,26,2014,100.0,3
Input-Sensitive Profiling,15,2014,32.0,3
Making CEGAR More Efficient in Software Model Checking,17,2014,48.1481481481481,3
Model-Transformation Design Patterns,48,2014,66.6666666666667,2
A Component Model for Model Transformations,45,2014,25.0,3
Keeping the Development Environment Up to Date—A Study of the Situated Practices of Appropriating the Eclipse IDE,,2014,0.0,3
Rate-Based Queueing Simulation Model of Open Source Software Debugging Activities,11,2014,0.0,2
Test Code Quality and Its Relation to Issue Handling Performance,55,2014,0.0,4
Using Traceability Links to Recommend Adaptive Changes for Documentation Evolution,14,2014,87.5,2
NLP-KAOS for Systems Goal Elicitation: Smart Metering System Case Study,23,2014,100.0,4
"On the Accuracy, Efficiency, and Reusability of Automated Test Oracles for Android Devices",40,2014,100.0,4
On the Effectiveness of Contracts as Test Oracles in the Detection and Diagnosis of Functional Faults in Concurrent Object-Oriented Software,9,2014,0.0,3
Predicting Vulnerable Software Components via Text Mining,122,2014,0.0,4
Requirements Elicitation and Specification Using the Agent Paradigm: The Case Study of an Aircraft Turnaround Simulator,37,2014,0.0,5
Supporting the Combined Selection of Model-Based Testing Techniques,14,2014,0.0,2
A Cooperative Parallel Search-Based Software Engineering Approach for Code-Smells Detection,45,2014,0.0,5
"A General Testability Theory: Classes, Properties, Complexity, and Testing Reductions",20,2014,16.6666666666667,3
A Scalable Approach to Exact Model and Commonality Counting for Extended Feature Models,9,2014,0.0,4
GreenDroid: Automated Diagnosis of Energy Inefficiency for Smartphone Applications,76,2014,100.0,4
An Empirical Analysis of Business Process Execution Language Usage,20,2014,0.0,2
Managing Technical Debt in Enterprise Software Packages,24,2014,50.0,2
Predicting Consistency-Maintenance Requirement of Code Clonesat Copy-and-Paste Time,8,2014,100.0,6
Specification and Verification of Normative Texts Using C-O Diagrams,18,2014,0.0,4
Supporting Process Model Validation through Natural Language Generation,70,2014,23.8095238095238,3
An Empirical Study of RefactoringChallenges and Benefits at Microsoft,,2014,0.0,3
Bypassing the Combinatorial Explosion: Using Similarity to Generate and Prioritize T-Wise Test Configurations for Software Product Lines,133,2014,33.3333333333333,5
Methodbook: Recommending Move Method Refactorings via Relational Topic Models,95,2014,0.0,5
