title|citation|isCS
Measuring Design-Level Cohesion|James M. Bieman , Byung-Kyoo Kang, Measuring Design-Level Cohesion, IEEE Transactions on Software Engineering, v.24 n.2, p.111-124, February 1998  [doi>10.1109/32.666825]|1
Properties of Machine Learning Applications for Use in Metamorphic Testing|Christian Murphy, Gail E Kaiser, Lifeng Hu, and Leon Wu. 2008. Properties of Machine Learning Applications for Use in Metamorphic Testing.. In SEKE, Vol. 8. 867--872.|1
Automated feedback generation for introductory programming assignments, Proceedings of the 34th ACM SIGPLAN conference on Programming language design and implementation|Rishabh Singh , Sumit Gulwani , Armando Solar-Lezama, Automated feedback generation for introductory programming assignments, Proceedings of the 34th ACM SIGPLAN conference on Programming language design and implementation, June 16-19, 2013, Seattle, Washington, USA  [doi>10.1145/2491956.2462195]|1
An empirical study of delays in the integration of addressed issues|"D. Alencar et al., ""An empirical study of delays in the integration of addressed issues"", Proc. Int. Conf. Softw. Maintenance Evol., pp. 281-290, 2014."|1
Approximating number of hidden layer neurons in multiple hidden layer BPNN architecture|S. Karsoliya. Approximating number of hidden layer neurons in multiple hidden layer BPNN architecture. International Journal of Engineering Trends and Technology, 3(6):713–717, 2012.|1
Robust next release problem: Handling uncertainty during optimization|"L. Li, M. Harman, E. Letier, Y. Zhang, ""Robust next release problem: Handling uncertainty during optimization"", Proc. Conf. Genetic Evol. Comput., pp. 1247-1254, 2014."|1
An empirical study of security problem reports in Linux distributions|"P. Anbalagan, M. Vouk, C. Science, N. Carolina, ""An empirical study of security problem reports in Linux distributions"", Proc. 3rd Int. Symp. Empirical Softw. Eng. Measurement, pp. 481-484, 2009."|1
Genprog: A generic method for automatic software repair|C. L. Goues, T. Nguyen, S. Forrest, and W. Weimer. Genprog: A generic method for automatic software repair. TSE, 2012.|1
Eliminating stack overflow by abstract interpretation|John Regehr , Alastair Reid , Kirk Webb, Eliminating stack overflow by abstract interpretation, ACM Transactions on Embedded Computing Systems (TECS), v.4 n.4, p.751-778, November 2005  [doi>10.1145/1113830.1113833]|1
Taming heterogeneity - The ptolemy approach|J. Eker, J. Janneck, E. A. Lee, J. Liu, X. Liu, J. Ludvig, S. Sachs, and Y. Xiong. 2003. Taming heterogeneity - The ptolemy approach. Proc. IEEE 91, 1, 127--144.|1
Effective program debugging based on execution slices and inter-block data dependency|W. Eric Wong , Yu Qi, Effective program debugging based on execution slices and inter-block data dependency, Journal of Systems and Software, v.79 n.7, p.891-903, July 2006  [doi>10.1016/j.jss.2005.06.045]|1
Social sustainability: towards some definitions|S. McKenzie, Social sustainability: towards some definitions. Hawke Research Institute, University of South Australia, 2004.|1
A Tool for Optimizing the Build Performance of Large Software Code Bases|Alexandru Telea , Lucian Voinea, A Tool for Optimizing the Build Performance of Large Software Code Bases, Proceedings of the 2008 12th European Conference on Software Maintenance and Reengineering, p.323-325, April 01-04, 2008  [doi>10.1109/CSMR.2008.4493340]|1
Using behaviour inference to optimise regression test sets|R. Taylor, M. Hall, K. Bogdanov, and J. Derrick. 2012. Using behaviour inference to optimise regression test sets. Test. Softw. Syst. LNCS - 7641, 184--199.|1
Gîrba , Mircea Lungu, Mondrian: an agile information visualization framework|Michael Meyer , Tudor Gîrba , Mircea Lungu, Mondrian: an agile information visualization framework, Proceedings of the 2006 ACM symposium on Software visualization, September 04-05, 2006, Brighton, United Kingdom  [doi>10.1145/1148493.1148513]|1
TLV hosting site. http://bitbucket.org|H. Xiao. TLV hosting site. http://bitbucket.org/ spencerxiao/tlv-fse2015, Jan 2015.|1
Experience report: the reactis validation tool|Steve Sims , Daniel C. DuVarney, Experience report: the reactis validation tool, ACM SIGPLAN Notices, v.42 n.9, September 2007  [doi>10.1145/1291220.1291172]|1
Paid: Prioritizing app issues for developers by tracking user reviews over versions|Cuiyun Gao et al. “Paid: Prioritizing app issues for developers by tracking user reviews over versions”. In: Proceedings of the 26th International Symposium on on Software Reliability Engineering (ISSRE). IEEE. 2015, pp. 35–45.|1
The Software Process Dashboard Initiative home|The Software Process Dashboard Initiative home page. http://www.processdash.com/.|1
Visualization of CVS Repository Information|Xinrong Xie , Denys Poshyvanyk , Andrian Marcus, Visualization of CVS Repository Information, Proceedings of the 13th Working Conference on Reverse Engineering, p.231-242, October 23-27, 2006  [doi>10.1109/WCRE.2006.55]|1
A framework for relating syntactic and semantic model differences|S. Maoz and J. O. Ringert. A framework for relating syntactic and semantic model differences. In MODELS, pages 24--33. IEEE Computer Society, 2015.|1
Return On Software: Maximizing The Return On Your Software Investment|Steve Tockey, Return On Software: Maximizing The Return On Your Software Investment, Addison-Wesley Professional, 2004|1
"Study on beta testing of web application,"" in The 2nd International Conference on"|"Z. Zemin, ""Study on beta testing of web application,"" in The 2nd International Conference on Computer and Automation Engineering (ICCAE), vol. 1, 2010, pp. 423-426."|1
Automatically adapting programs for mixed-precision floating-point computation|Michael O. Lam , Jeffrey K. Hollingsworth , Bronis R. de Supinski , Matthew P. Legendre, Automatically adapting programs for mixed-precision floating-point computation, Proceedings of the 27th international ACM conference on International conference on supercomputing, June 10-14, 2013, Eugene, Oregon, USA  [doi>10.1145/2464996.2465018]|1
Context-aware aspects, Proceedings of the 5th international conference on Software Composition|Éric Tanter , Kris Gybels , Marcus Denker , Alexandre Bergel, Context-aware aspects, Proceedings of the 5th international conference on Software Composition, p.227-242, March 25-26, 2006, Vienna, Austria  [doi>10.1007/11821946_15]|1
Eric Bodden , Alexandre Bartel , Jacques Klein , Yves Le Traon , Damien Octeau , Patrick McDaniel, FlowDroid: precise context, flow, field, object-sensitive and lifecycle-aware taint analysis for Android apps|Steven Arzt , Siegfried Rasthofer , Christian Fritz , Eric Bodden , Alexandre Bartel , Jacques Klein , Yves Le Traon , Damien Octeau , Patrick McDaniel, FlowDroid: precise context, flow, field, object-sensitive and lifecycle-aware taint analysis for Android apps, ACM SIGPLAN Notices, v.49 n.6, June 2014  [doi>10.1145/2666356.2594299]|1
Uma abordagem de apoio à gerˆ encia de projetos de software para análise da contribui¸ c˜ ao de desenvolvedores|J. R. F. de Lima. Uma abordagem de apoio à gerˆ encia de projetos de software para análise da contribui¸ c˜ ao de desenvolvedores, 2014. Universidade Federal do Rio Grande do Norte.|1
How to solve it automatically: Selection among Problem-Solving methods|"E. Fink, ""How to solve it automatically: Selection among Problem-Solving methods,"" in Proceedings of the Fourth International Conference on Artificial Intelligence Planning Systems. AAAI Press, 1998, pp. 128-136."|1
On the expressiveness of TPTL and MTL|P. Bouyer, F. Chevalier, and N. Markey. On the expressiveness of TPTL and MTL. Information and Computation, 208(2):97--116, 2010.|1
Academic cloud computing research: five pitfalls and five opportunities|Adam Barker , Blesson Varghese , Jonathan Stuart Ward , Ian Sommerville, Academic cloud computing research: five pitfalls and five opportunities, Proceedings of the 6th USENIX conference on Hot Topics in Cloud Computing, p.2-2, June 17-18, 2014, Philadelphia, PA|1
Java hotspot virtual machine performance enhancements|Java hotspot virtual machine performance enhancements. http://docs.oracle.com/javase/7/docs/technotes/\\guides/vm/performance-enhancements-7.html.|1
The pattern instance notation: A simple hierarchical visual notation for the dynamic visualization and comprehension of software patterns|Smith, J. M. 2011. The pattern instance notation: A simple hierarchical visual notation for the dynamic visualization and comprehension of software patterns. J. Vis. Lang. Comput. 22, 5, 355--374.|1
A Computational Approach to Edge Detection|J Canny, A Computational Approach to Edge Detection, IEEE Transactions on Pattern Analysis and Machine Intelligence, v.8 n.6, p.679-698, June 1986  [doi>10.1109/TPAMI.1986.4767851]|1
Software defect prediction using artificial immune recognition system|Cagatay Catal , Banu Diri, Software defect prediction using artificial immune recognition system, Proceedings of the 25th conference on IASTED International Multi-Conference: Software Engineering, p.285-290, February 13-15, 2007, Innsbruck, Austria|1
Territoriality in collaborative tabletop workspaces, Proceedings of the 2004 ACM conference on Computer supported cooperative work|Stacey D. Scott , M. Sheelagh T. Carpendale , Kori M. Inkpen, Territoriality in collaborative tabletop workspaces, Proceedings of the 2004 ACM conference on Computer supported cooperative work, November 06-10, 2004, Chicago, Illinois, USA  [doi>10.1145/1031607.1031655]|1
MonkeyDroid: Detecting unreasonable privacy leakages of Android applications|"K. Ma, M. Liu, S. Guo, T. Ban, ""MonkeyDroid: Detecting unreasonable privacy leakages of Android applications"", Nov. 9–12, 2015."|1
String Solving with Parameterized Array and Interval Automaton|Guodong Li and Indradeep Ghosh. 2013. PASS: String Solving with Parameterized Array and Interval Automaton. In Proceedings of the 9th International Haifa Verification Conference (HVC). 15–31.|1
Social capital in academic engineers|C. N. Gonzalez-Brambila and F. Veloso. Social capital in academic engineers. In Portland Int. Center for Management of Eng. and Technology, 5-9 Aug. 2007.|1
Worldwide usage of JavaScript front-end libraries. https: //stateofjs.com/2017/front-end/results/ Accessed: 10|stateofjs.com. 2017. Worldwide usage of JavaScript front-end libraries. https: //stateofjs.com/2017/front-end/results/ Accessed: 10 April 2018.|1
21 fairness definitions and their politics. Tutorial at the Conference on Fairness|Arvind Narayanan. 21 fairness definitions and their politics. Tutorial at the Conference on Fairness, Accountability, and Transparency, 2018.|1
Information foraging as a foundation for code navigation (NIER track|Nan Niu , Anas Mahmoud , Gary Bradshaw, Information foraging as a foundation for code navigation (NIER track), Proceedings of the 33rd International Conference on Software Engineering, May 21-28, 2011, Waikiki, Honolulu, HI, USA  [doi>10.1145/1985793.1985911]|1
Analyzing inter-application communication in android|"E. Chin, A. P. Felt, K. Greenwood, D. Wagner, ""Analyzing inter-application communication in android"", Proc. 9th Int. Conf. Mobile Syst. Appl. Services, pp. 239-252, 2011."|1
The Tree-to-Tree Correction Problem|Kuo-Chung Tai, The Tree-to-Tree Correction Problem, Journal of the ACM (JACM), v.26 n.3, p.422-433, july 1979  [doi>10.1145/322139.322143]|1
Neural network based models for software effort estimation: a review|Vachik S. Dave , Kamlesh Dutta, Neural network based models for software effort estimation: a review, Artificial Intelligence Review, v.42 n.2, p.295-307, August 2014  [doi>10.1007/s10462-012-9339-x]|1
Beschastnikh , Cosmin Barsan , Arvind Krishnamurthy , Thomas Anderson, Retaining sandbox containment despite bugs in privileged memory-safe code|Justin Cappos , Armon Dadgar , Jeff Rasley , Justin Samuel , Ivan Beschastnikh , Cosmin Barsan , Arvind Krishnamurthy , Thomas Anderson, Retaining sandbox containment despite bugs in privileged memory-safe code, Proceedings of the 17th ACM conference on Computer and communications security, October 04-08, 2010, Chicago, Illinois, USA  [doi>10.1145/1866307.1866332]|1
Automated fault localization using potential invariants. Arxiv preprint cs.SE/0310040|Pytlik, B., Renieris, M., Krishnamurthi, S., and Reiss, S. 2003. Automated fault localization using potential invariants. Arxiv preprint cs.SE/0310040.|1
Symbolic Execution of Complex Program Driven by Machine Learning Based Constraint Solving|Xin Li, Yongjuan Liang, Hong Qian, Yi-Qi Hu, Lei Bu, Yang Yu, Xin Chen, and Xuandong Li. 2016. Symbolic Execution of Complex Program Driven by Machine Learning Based Constraint Solving. In Proceedings of the 31st IEEE/ACM International Conference on Automated Software Engineering (ASE 2016). ACM, New York, NY, USA, 554–559.  [doi>10.1145/2970276.2970364]|1
Mignosi , Wojciech Plandowski, The expressibility of languages and relations by word equations|Juhani Karhumäki , Filippo Mignosi , Wojciech Plandowski, The expressibility of languages and relations by word equations, Journal of the ACM (JACM), v.47 n.3, p.483-505, May 2000  [doi>10.1145/337244.337255]|1
Towards a metrics suite for object oriented design|"S. R. Chidamber, C. F. Kemerer, ""Towards a metrics suite for object oriented design"", SIGPLAN Notices, vol. 26, no. 11, pp. 197-211, Nov. 1991, [online] Available: http://doi.acm.org/10.1145/118014.117970."|1
Z3-str: a z3-based string solver for web application analysis. In: Proc. Joint Meeting of the European Software Engineering Conference and the|Zheng, Y., Zhang, X., Ganesh, V.: Z3-str: a z3-based string solver for web application analysis. In: Proc. Joint Meeting of the European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering (ESEC/FSE). (2013) 114–124|1
release software|JIRA, “JIRA: plan, track, and release software.” {Online}. Available: https://www.atlassian.com/software/jira|1
Neha Rungta , Suzette Person , Sarfraz Khurshid, Feedback-driven dynamic invariant discovery|Lingming Zhang , Guowei Yang , Neha Rungta , Suzette Person , Sarfraz Khurshid, Feedback-driven dynamic invariant discovery, Proceedings of the 2014 International Symposium on Software Testing and Analysis, July 21-25, 2014, San Jose, CA, USA  [doi>10.1145/2610384.2610389]|1
visited in 2017. Git Turns 8, Sees Wide Adoption in the Enterprise|K. Noyes. visited in 2017. Git Turns 8, Sees Wide Adoption in the Enterprise. http://www.linux.com/news/enterprise/systemsmanagement/ 715287-git-turns-8-enterprise-wide-adoption/. (visited in 2017).|1
Formalizing liveness-enriched sequence diagrams using ASMs|A. Cavarra and J. Küster-Filipe. 2004. Formalizing liveness-enriched sequence diagrams using ASMs. In Proceedings of the 11th International Workshop on Abstract State Machines. W. Zimmermann and B. Thalheim (Eds.), Lecture Notes in Computer Science, vol. 3052, Springer, 62--77.|1
Algorithms for Reinforcement Learning|Csaba Szepesvari, Algorithms for Reinforcement Learning, Morgan and Claypool Publishers, 2010|1
Constructing informative priors using transfer learning|Rajat Raina , Andrew Y. Ng , Daphne Koller, Constructing informative priors using transfer learning, Proceedings of the 23rd international conference on Machine learning, p.713-720, June 25-29, 2006, Pittsburgh, Pennsylvania  [doi>10.1145/1143844.1143934]|1
On the evolution of random graphs|"P. Erdos and A. Renyi, ""On the evolution of random graphs,"" Mathematical Institute of the Hungarian Academy of Sciences, 5: 17--61, 1960."|1
libDAI - A free and open source C   library for Discrete Approximate Inference in graphical models|Joris Mooij. 2010. libDAI - A free and open source C++ library for Discrete Approximate Inference in graphical models. https://staff.fnwi.uva.nl/j.m.mooij/ libDAI/|1
System of systems lead system integrators: Where Do they spend their time and what makes them more or less efficient|Jo Ann Lane , Barry Boehm, System of systems lead system integrators: Where Do they spend their time and what makes them more or less efficient?, Systems Engineering, v.11 n.1, p.81-91, February 2008  [doi>10.1002/sys.v11:1]|1
CrashLocator: locating crashing faults based on crash stacks|Rongxin Wu , Hongyu Zhang , Shing-Chi Cheung , Sunghun Kim, CrashLocator: locating crashing faults based on crash stacks, Proceedings of the 2014 International Symposium on Software Testing and Analysis, July 21-25, 2014, San Jose, CA, USA  [doi>10.1145/2610384.2610386]|1
ter Hofstede, Formal semantics and analysis of control flow|Chun Ouyang , Eric Verbeek , Wil M. P. van der Aalst , Stephan Breutel , Marlon Dumas , Arthur H. M. ter Hofstede, Formal semantics and analysis of control flow in WS-BPEL, Science of Computer Programming, v.67 n.2-3, p.162-198, July, 2007  [doi>10.1016/j.scico.2007.03.002]|1
we need a theory for software engineering|Jacobson I, Spence I. 2009. Why we need a theory for software engineering. Dr. Dobb's Journal.|1
Improving fault localization for Simulink models using search-based testing and prediction models|B. Liu, Lucia, S. Nejati, and L. C. Briand. 2017. Improving fault localization for Simulink models using search-based testing and prediction models. In Proc. 24th IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER). 359--370.|1
Service-Oriented Computing: Semantics, Processes, Agents|M. P. Singh and M. N. Huhns. 2005. Service-Oriented Computing: Semantics, Processes, Agents. John Wiley and Sons.|1
Online Objective Reduction to Deal with Many-Objective Problems|Antonio López Jaimes , Carlos A. Coello , Jesús E. Urías Barrientos, Online Objective Reduction to Deal with Many-Objective Problems, Proceedings of the 5th International Conference on Evolutionary Multi-Criterion Optimization, April 07-10, 2009, Nantes, France  [doi>10.1007/978-3-642-01020-0_34]|1
The SQO-OSS quality model: measurement based open source software evaluation|G. Gousios, D. Spinellis, I. Samoladas and I. Stamelos, “The SQO-OSS quality model: measurement based open source software evaluation”, Proceedings of the International Conference on Open Source Systems, 2008|1
Chameleon: a color-adaptive web browser for mobile OLED displays, Proceedings of the 9th international conference on Mobile systems, applications, and services, June 28-July 01|Mian Dong , Lin Zhong, Chameleon: a color-adaptive web browser for mobile OLED displays, Proceedings of the 9th international conference on Mobile systems, applications, and services, June 28-July 01, 2011, Bethesda, Maryland, USA  [doi>10.1145/1999995.2000004]|1
Engineering and theoretical underpinnings of retrenchment|R. Banach , M. Poppleton , C. Jeske , S. Stepney, Engineering and theoretical underpinnings of retrenchment, Science of Computer Programming, v.67 n.2-3, p.301-329, July, 2007  [doi>10.1016/j.scico.2007.04.002]|1
A Whisper of Evidence in Global Software Engineering|Darja Smite , Claes Wohlin, A Whisper of Evidence in Global Software Engineering, IEEE Software, v.28 n.4, p.15-18, July 2011  [doi>10.1109/MS.2011.70]|1
Optimizing Incremental Scope-Bounded Checking with Data-Flow Analysis|Danhua Shao , Divya Gopinath , Sarfraz Khurshid , Dewayne E. Perry, Optimizing Incremental Scope-Bounded Checking with Data-Flow Analysis, Proceedings of the 2010 IEEE 21st International Symposium on Software Reliability Engineering, p.408-417, November 01-04, 2010|1
Applying social network analysis to discover service innovation within agile service networks|Noel Carroll, Eoin Whelan, and Ita Richardson. Applying social network analysis to discover service innovation within agile service networks. Service Science, 2:pp 225-244, November 2010.|1
Dynamic inference of likely metamorphic properties to support differential testing|"F. Su, J. Bell, C. Murphy, G. Kaiser, ""Dynamic inference of likely metamorphic properties to support differential testing"", Proc. 10th Int. Workshop Autom. Softw. Test, pp. 55-59, 2015."|1
ECMAScript language specification - ECMA-262 edition 5.1: The global object. http://www. ecma-international.org/ecma-262/5.1/#sec-15.1. Accessed|GlobalObject. ECMAScript language specification - ECMA-262 edition 5.1: The global object. http://www. ecma-international.org/ecma-262/5.1/#sec-15.1. Accessed: 2015-07-14.|1
Developing architectural documentation for the hadoop distributed file system|L. Bass et al., “Developing architectural documentation for the hadoop distributed file system,” in OSS, 2011.|1
Applied Statistics for Software Managers. Software Quality Institute Series|K. Maxwell. 2002. Applied Statistics for Software Managers. Software Quality Institute Series, Prentice Hall.|1
Experience with performance testing of software systems: Issues an approach and case study|"E. J. Weyuker, F. I. Vokolos, ""Experience with performance testing of software systems: Issues an approach and case study"", IEEE Trans. Softw. Eng., vol. 26, no. 12, pp. 1147-1156, Dec. 2000."|1
Sequence Charts|ITU. Message Sequence Charts. International Telecommunications Union, Telecommunication Standardisation Sector, 1996.|0
Babeltrace: A collection of transducers for trace validation|A. Mrad, S. Ahmed, S. Hallé, and E. Beaudet. Babeltrace: A collection of transducers for trace validation. In Proc. of RV 2012, volume 7687 of LNCS, pages 126--130. Springer, 2013.|1
A state/event-based model-checking approach for the analysis of abstract system properties|Maurice H. ter Beek , Alessandro Fantechi , Stefania Gnesi , Franco Mazzanti, A state/event-based model-checking approach for the analysis of abstract system properties, Science of Computer Programming, v.76 n.2, p.119-135, February, 2011  [doi>10.1016/j.scico.2010.07.002]|1
The tale of SOLOIST: a specification language for service compositions interactions|D. Bianculli, C. Ghezzi, and P. San Pietro. The tale of SOLOIST: a specification language for service compositions interactions. In Proc. of FACS 2012, volume 7684, pages 55--72. Springer, 2012.|1
Reduction and Emergency Preparedness: WHO Six-year Strategy for the Health Sector and Community Capacity Development|WHO, Risk Reduction and Emergency Preparedness: WHO Six-year Strategy for the Health Sector and Community Capacity Development. Geneva: World Health Organization, 2007.|1
The development of measures of individual differences in self-regulatory control and their relationship to academic performance|"R. Cantwell and P. Moore, ""The development of measures of individual differences in self-regulatory control and their relationship to academic performance,"" Contemporary Educational Psychology, vol. 21, pp. 500--517, 1996."|0
reference: Regular expression language elements. http://msdn.microsoft.com/en-us/library/az24scfc(VS.71).aspx|}}MSDN. .net reference: Regular expression language elements. http://msdn.microsoft.com/en-us/library/az24scfc(VS.71).aspx. Technical report, 2001.|1
Countering Persistent Kernel Rootkits through Systematic Hook Discovery|Zhi Wang , Xuxian Jiang , Weidong Cui , Xinyuan Wang, Countering Persistent Kernel Rootkits through Systematic Hook Discovery, Proceedings of the 11th international symposium on Recent Advances in Intrusion Detection, September 15-17, 2008, Cambridge, MA, USA  [doi>10.1007/978-3-540-87403-4_2]|1
The Discovery of Grounded Theory: Strategies for Qualitative Research|B. Glaser and J. Strauss, The Discovery of Grounded Theory: Strategies for Qualitative Research. Aldine, 1967.|1
Probabilistic verification for “black-box” systems, Proceedings of the 17th international conference on Computer Aided Verification, July 06-10|Håkan L. S. Younes, Probabilistic verification for “black-box” systems, Proceedings of the 17th international conference on Computer Aided Verification, July 06-10, 2005, Edinburgh, Scotland, UK  [doi>10.1007/11513988_25]|1
TRACON: Interference-aware scheduling for data-intensive applications in virtualized environments|"R. Chiang, H. Huang, ""TRACON: Interference-aware scheduling for data-intensive applications in virtualized environments"", Proc. Int. Conf. High Perform. Comput. Netw. Storage Anal., pp. 47:1-47:12, Nov. 2011."|1
Semantics-based obfuscation-resilient binary code similarity comparison with applications to software and algorithm plagiarism detection|"L. Luo, J. Ming, D. Wu, P. Liu, S. Zhu, ""Semantics-based obfuscation-resilient binary code similarity comparison with applications to software and algorithm plagiarism detection"", IEEE Trans. Softw. Eng., 2017."|1
Findings from a multi-method study on test-driven development|Simone Romano, Davide Fucci, Giuseppe Scanniello, Burak Turhan, and Natalia Juristo. 2017. Findings from a multi-method study on test-driven development. Information and Software Technology 89 (2017), 64--77. DOI:http://dx.doi.org/10.1016/j.infsof.2017.03.010  [doi>10.1016/j.infsof.2017.03.010]|1
Effectiveness|2018. Effectiveness and Challenges in Generating Concurrent Tests for Threadsafe Classes. http://star.inf.usi.ch/star/software/contest2018/index.htm. (2018). 2018. JaConTeBe. http://sir.unl.edu/portal/bios/JaConTeBe.php. (2018).|1
Formal verification for solidity contracts. http://forum.ethereum.org/discussion//3779/formalverfication-for-solidity-contracts|Formal verification for solidity contracts. http://forum.ethereum.org/discussion//3779/formalverfication-for-solidity-contracts, 2015.|1
What is wrong with topic modeling?(and how to fix it using search-based se). arXiv preprint arXiv:1608.08176|Amritanshu Agrawal, Wei Fu, and Tim Menzies. 2016. What is wrong with topic modeling?(and how to fix it using search-based se). arXiv preprint arXiv:1608.08176 (2016).|1
mobile security report 2011 - unprecedented mobile threat growth. http://forums.juniper.net/t5/Security-Mobility-Now|Juniper Networks. Juniper mobile security report 2011 - unprecedented mobile threat growth. http://forums.juniper.net/t5/Security-Mobility-Now/ Juniper-Mobile-Security-Report-2011-Unprecedented-Mobile-Threat/ba-p/129529.|1
Xuxian Jiang , Ahmad-Reza Sadeghi, Unsafe exposure analysis of mobile in-app advertisements|Michael C. Grace , Wu Zhou , Xuxian Jiang , Ahmad-Reza Sadeghi, Unsafe exposure analysis of mobile in-app advertisements, Proceedings of the fifth ACM conference on Security and Privacy in Wireless and Mobile Networks, April 16-18, 2012, Tucson, Arizona, USA  [doi>10.1145/2185448.2185464]|1
Thou Shalt Not Depend on Me: Analysing the Use of Outdated JavaScript Libraries on the Web|Tobias Lauinger, Abdelberi Chaabane, Sajjad Arshad, William Robertson, Christo Wilson, and Engin Kirda. 2017. Thou Shalt Not Depend on Me: Analysing the Use of Outdated JavaScript Libraries on the Web. In NDSS.|1
Test-and-adapt: An approach for improving service interchangeability|Giovanni Denaro , Mauro Pezzè , Davide Tosi, Test-and-adapt: An approach for improving service interchangeability, ACM Transactions on Software Engineering and Methodology (TOSEM), v.22 n.4, p.1-43, October 2013  [doi>10.1145/2522920.2522921]|1
Scope-aided test prioritization, selection and minimization for software reuse|Breno Miranda , Antonia Bertolino, Scope-aided test prioritization, selection and minimization for software reuse, Journal of Systems and Software, v.131 n.C, p.528-549, September 2017  [doi>10.1016/j.jss.2016.06.058]|1
State space exploration of rt systems in the cloud|Carlo Bellettini, Matteo Camilli, Lorenzo Capra, and Mattia Monga. State space exploration of rt systems in the cloud. CoRR, arXiv:1203.6806v1, 2012.|1
Exception Handling: A Field Study in Java|B. Cabral, P. Marques, Exception Handling: A Field Study in Java and .NET, Berlin, Germany:Springer, 2007.|1
Mining version histories to guide software changes|"T. Zimmermann, P. Weibgerber, S. Diehl, A. Zeller, ""Mining version histories to guide software changes"", Proc. 26th Int. Conf. Softw. Eng., pp. 563-572, 2004."|1
Diagnosing mobile applications in the wild|Sharad Agarwal , Ratul Mahajan , Alice Zheng , Victor Bahl, Diagnosing mobile applications in the wild, Proceedings of the 9th ACM SIGCOMM Workshop on Hot Topics in Networks, p.1-6, October 20-21, 2010, Monterey, California  [doi>10.1145/1868447.1868469]|1
An empirical study of the effects of test-suite reduction on fault localization|Yanbing Yu , James A. Jones , Mary Jean Harrold, An empirical study of the effects of test-suite reduction on fault localization, Proceedings of the 30th international conference on Software engineering, May 10-18, 2008, Leipzig, Germany  [doi>10.1145/1368088.1368116]|1
Information flow analysis for javascript, Proceedings of the 1st ACM SIGPLAN international workshop on Programming language and systems technologies for internet clients|Seth Just , Alan Cleary , Brandon Shirley , Christian Hammer, Information flow analysis for javascript, Proceedings of the 1st ACM SIGPLAN international workshop on Programming language and systems technologies for internet clients, October 24-24, 2011, Portland, Oregon, USA  [doi>10.1145/2093328.2093331]|1
Kodkod: A Relational Model Finder|Emina Torlak and Daniel Jackson. 2007. Kodkod: A Relational Model Finder. In TACAS.|1
Schedule trees|"S. Verdoolaege, S. Guelton, T. Grosser, A. Cohen, ""Schedule trees"", Proc. 4th Int. Workshop Polyhedral Compilation Techn., pp. 1-9, 2014."|1
