Title,Citation
A Model of Data Warehousing Process Maturity,67
A Model-Based Approach to Families of Embedded Domain-Specific Languages,53
A Model-Driven Methodology for Developing Secure Data-Management Applications,17
A Multi-Objective Technique to Prioritize Test Cases,20
A Multi-Site Joint Replication of a Design Patterns Experiment Using Moderator Variables to Generalize across Contexts,5
A PVS-Simulink Integrated Environment for Model-Based Analysis of Cyber-Physical Systems,9
"A Posteriori Typing for Model-Driven Engineering: Concepts, Analysis, and Applications",16
A Practical Approach to Size Estimation of Embedded Software Components,12
A Precise Method-Method Interaction-Based Cohesion Metric for Object-Oriented Classes,109
A Probabilistic Analysis of the Efficiency of Automated Software Testing,27
A Qualitative Study of Application-Level Caching,9
A Quantitative Approach to Input Generation in Real-Time Testing of Stochastic Systems,5
A Quantitative Investigation of the Acceptable Risk Levels of Object-Oriented Metrics in Open-Source Systems,124
A Risk Management Methodology for Project Risk Dependencies,86
A SEALANT for inter-app security holes in android,19
A Scalable Approach to Exact Model and Commonality Counting for Extended Feature Models,9
A Second Replicated Quantitative Analysis of Fault Distributions in Complex Software Systems,38
A Semi-Automatic Approach for Extracting Software Product Lines,32
A Stack Memory Abstraction and Symbolic Analysis Framework for Executables,4
A Static Approach to Prioritizing JUnit Test Cases,104
A Study of Causes and Consequences of Client-Side JavaScript Bugs,14
A Study of Social Interactions in Open Source Component Use,4
A Study of Variability Models and Languages in the Systems Software Domain,107
A System for Profiling and Monitoring Database Access Patterns by Application Programs for Anomaly Detection,13
A Systematic Study on Explicit-State Non-Zenoness Checking for Timed Automata,5
A Templating System to Generate Provenance,16
A Theoretical and Empirical Analysis of the Role of Test Sequence Length in Software Testing for Structural Coverage,34
A Theoretical and Empirical Study of Diversity-Aware Mutation Adequacy Criterion,8
"A Theoretical and Empirical Study of Search-Based Testing: Local, Global, and Hybrid Search",338
A Tool-Supported Methodology for Validation and Refinement of Early-Stage Domain Models,3
"A Two-Component Language for Adaptation: Design, Semantics and Program Analysis",12
A UML/MARTE Model Analysis Method for Uncovering Scenarios Leading to Starvation and Deadlocks in Concurrent Systems,30
A Unified Test Case Prioritization Approach,61
A Uniform Representation of Hybrid Criteria for Regression Testing,41
A bounded statistical approach for model checking of unbounded until properties,20
A case-study on using an Automated In-process Software Engineering Measurement and Analysis system in an industrial environment,58
A combinatorial approach for exposing off-nominal behaviors,3
A comparative analysis of software architecture recovery techniques,98
A comparative study of programming languages in Rosetta code,70
A comparative study to benchmark cross-project defect prediction approaches,28
A comparison of 10 sampling algorithms for configurable systems,67
A compiler and verifier for page access oblivious computation,8
A comprehensive study of real-world numerical bug characteristics,9
A comprehensive study on real world concurrency bugs in Node.js,12
A cut-off approach for bounded verification of parameterized systems,20
A decentralized self-adaptation mechanism for service-based applications in the cloud,89
A degree-of-knowledge model to capture source code familiarity,111
A discriminative model approach for accurate duplicate bug report retrieval,230
A dynamic analysis to support object-sharing code refactorings,7
A fast causal profiler for task parallel programs,7
A feasibility study of using automated program repair for introductory programming assignments,23
A flexible and non-intrusive approach for computing complex structural coverage metrics,8
A fluid model for layered queueing networks,33
A formal model for automated software modularity and evolvability analysis,6
A framework for the checking and refactoring of crosscutting concepts,2
A general framework for dynamic stub injection,1
A genetic algorithm for detecting significant floating-point inaccuracies,18
A genetic algorithm for goal-conflict identification,0
A graph solver for the automated generation of consistent domain-specific models,5
A guided genetic algorithm for automated crash reproduction,16
A history-based matching approach to identification of framework evolution,62
A large scale exploratory analysis of software vulnerability life cycles,115
A large-scale empirical study of just-in-time quality assurance,191
A large-scale empirical study of practitioners' use of object-oriented concepts,28
A large-scale empirical study on the effects of code obfuscations on Android apps and anti-malware products,4
A large-scale study of test coverage evolution,3
A learning-based method for combining testing techniques,15
A logical verification methodology for service-oriented computing,41
A machine learning approach for tracing regulatory codes to product specific requirements,158
A method to identify and correct problematic software activity data: exploiting capacity constraints and data redundancies,5
A methodology for testing CPU emulators,7
A model for spectra-based software diagnosis,283
A novel automated approach for software effort estimation based on data augmentation,2
A performance comparison of contemporary algorithmic approaches for automated analysis operations on feature models,42
A practical guide to select quality indicators for assessing pareto-based search algorithms in search-based software engineering,64
A program differencing algorithm for verilog HDL,18
A programming model for sustainable software,24
A qualitative study on user guidance capabilities in product configuration tools,48
A revisit of fault class hierarchies in general boolean specifications,34
A rule-based approach to the semantic lifting of model differences in the context of model versioning,87
A scalable approach for malware detection through bounded feature space behavior modeling,24
A search engine for finding highly relevant applications,131
A sentence-matching method for automatic license identification of source code files,81
A static verification framework for message passing in Go using behavioural types,13
A statistical semantic language model for source code,119
A study and toolkit for asynchronous programming in c#,46
A study of equivalent and stubborn mutation operators using human analysis of equivalence,105
A study of repetitiveness of code changes in software evolution,75
A symbolic justice violations transition system for unrealizable GR(1) specifications,4
A symbolic model checking approach to the analysis of string and length constraints,0
A synergistic analysis method for explaining failed regression tests,11
A systematic study of automated program repair: fixing 55 out of 105 bugs for $8 each,395
A tactic-centric approach for automating traceability of quality concerns,74
A tale of two cities: how WebView induces bugs to Android applications,3
A temporal permission analysis and enforcement framework for Android,4
A test-suite diagnosability metric for spectrum-based fault localization approaches,22
A theoretical analysis of the risk evaluation formulas for spectrum-based fault localization,185
A topic-based approach for narrowing the search space of buggy files from a bug report,131
A two-phase approximation for model checking probabilistic unbounded until properties of probabilistic systems,4
A two-step technique for extract class refactoring,49
A user-guided approach to program analysis,44
A verification system for interval-based specification languages,9
A web-centred approach to end-user software engineering,8
ADAM: External dependency-driven architecture discovery and analysis of quality attributes,3
APE: an annotation language and middleware for energy-efficient mobile application development,34
APEx: automated inference of error specifications for C APIs,8
API change and fault proneness: a threat to the success of Android apps,187
API method recommendation without worrying about the task-API knowledge gap,5
AR-miner: mining informative reviews for developers from mobile app marketplace,285
ARENA: An Approach for the Automated Generation of Release Notes,19
ARTINALI: dynamic invariant detection for cyber-physical system security,4
ASCENT: An Algorithmic Technique for Designing Hardware and Software in Tandem,17
AURA: a hybrid approach to identify framework evolution,115
Abstracting runtime heaps for program understanding,27
Accounting for defect characteristics in evaluations of testing techniques,20
Accurate Interprocedural Null-Dereference Analysis for Java,77
Accurate and efficient refactoring detection in commit history,20
Achieving accuracy and scalability simultaneously in detecting application clones on Android markets,189
Achieving scalable model-based testing through test case diversity,148
Active code completion,71
Active learning and effort estimation: Finding the essential content of software effort estimation data,55
Active refinement of clone anomaly reports,30
Adaptive Multi-Objective Evolutionary Algorithms for Overtime Planning in Software Projects,18
Adaptive bug isolation,62
Adaptive coverage and operational profile-based testing for reliability improvement,3
Adaptive unpacking of Android apps,30
Adaptively generating high quality fixes for atomicity violations,2
Adding sparkle to social coding: an empirical study of repository badges in the npm ecosystem,23
Adversarial symbolic execution for detecting concurrency-related cache timing leaks,5
"Aligning Qualitative, Real-Time, and Probabilistic Property Specification Patterns Using a Structured English Grammar",66
"All about activity injection: threats, semantics, and detection",1
Alloy Meets the Algebra of Programming: A Case Study,12
Alloy*: a general-purpose higher-order relational constraint solver,50
Almost there: a study on quasi-contributors in open source software projects,14
Alternate refactoring paths reveal usability problems,18
Aluminum: principled scenario exploration through minimality,51
Ambient awareness of build status in collocated software teams,22
Amoeba: A methodology for modeling and evolving cross-organizational business processes,100
Amorphous Slicing of Extended Finite State Machines,24
Amplifying Tests to Validate Exception Handling Code: An Extended Study in the Mobile Application Domain,59
Amplifying tests to validate exception handling code,20
An Active Learning Approach for Improving the Accuracy of Automated Domain Model Extraction,0
An Analysis and Survey of the Development of Mutation Testing,1186
An Approach for Modeling Architectural Design Rules in UML and its Application to Embedded Software,16
An Approach to Checking Consistency between UML Class Model and Its Java Implementation,12
An Attack Surface Metric,553
An Autonomous Engine for Services Configuration and Deployment,16
An Efficient and Scalable Approach to Correct Class Model Refinement,11
An Empirical Analysis of Business Process Execution Language Usage,20
An Empirical Comparison of Model Validation Techniques for Defect Prediction Models,121
An Empirical Evaluation of Mutation Testing for Improving the Test Quality of Safety-Critical Software,47
An Empirical Methodology to Evaluate Vulnerability Discovery Models,31
An Empirical Study of Meta- and Hyper-Heuristic Search for Multi-Objective Release Planning,6
An Enhanced Bailout Protocol for Mixed Criticality Embedded Software,16
An Experience in Testing the Security of Real-World Electronic Voting Systems,52
An Eye-Tracking Study of Java Programmers and Application to Source Code Summarization,20
An I/O Efficient Approach for Detecting All Accepting Cycles,1
An Improved SDA Based Defect Prediction Framework for Both Within-Project and Cross-Project Class-Imbalance Problems,42
An Industrial Survey of Safety Evidence Change Impact Analysis Practice,34
"An Information Foraging Theory Perspective on Tools for Debugging, Refactoring, and Reuse Tasks",55
An Integrative Economic Optimization Approach to Systems Development Risk Management,13
An Investigation into the Functional Form of the Size-Defect Relationship for Software Modules,115
An Observe-Model-Exercise* Paradigm to Test Event-Driven Systems with Undetermined Input Spaces,35
An Ontology-Based Product Architecture Derivation Approach,10
An algebra of design patterns,33
An analysis of the relationship between conditional entropy and failed error propagation in software testing,33
An analysis of the search spaces for generate and validate patch generation systems,75
An analysis of the variability in forty preprocessor-based software product lines,268
An automated approach for finding variable-constant pairing bugs,6
An automated approach to estimating code coverage measures via execution logs,3
An automated approach to forecasting QoS attributes based on linear and non-linear time series modeling,50
An automated approach to generating efficient constraint solvers,12
"An efficient, robust, and scalable approach for analyzing interacting android apps",16
An empirical analysis of team review approaches for teaching quality software development,2
An empirical analysis of the co-evolution of schema and code in database applications,55
An empirical comparison of compiler testing techniques,25
An empirical evaluation and comparison of manual and automated test selection,24
An empirical evaluation of two user interfaces of an interactive program verifier,9
An empirical investigation into the nature of test smells,38
An empirical study about the effectiveness of debugging when random test cases are used,17
An empirical study of Android test generation tools in industrial cases,3
An empirical study of goto in C code from GitHub repositories,15
An empirical study of optimizations in YOGI,28
An empirical study of practitioners' perspectives on green software engineering,61
An empirical study of reported bugs in server software with implications for automated bug diagnosis,58
An empirical study of the effects of conscientiousness in pair programming using the five-factor personality model,60
An empirical study on crash recovery bugs in large-scale distributed systems,3
An empirical study on dependence clusters for effort-aware fault-proneness prediction,12
"An empirical study on mutation, statement and branch coverage fault revelation that avoids the unreliable clean program assumption",53
An empirical study on real bug fixes,77
An empirical study on the developers' perception of software coupling,87
An empirical study on the impact of C++ lambdas and programmer experience,28
An experience report on scaling tools for mining software repositories using MapReduce,29
An exploratory study of fault-proneness in evolving aspect-oriented programs,61
An exploratory study of the evolution of software licensing,73
An exploratory study of the pull-based software development model,280
An in-depth study of the potentially confounding effect of class size in fault prediction,39
An information retrieval approach for regression test prioritization based on program changes,63
An optimal strategy for algorithmic debugging,5
An unsupervised approach for discovering relevant tutorial fragments for APIs,16
Analysis and applications of timed service protocols,33
Analysis and testing of notifications in Android wear applications,18
Analysis of user comments: an approach for software requirements evolution,223
Analyze this! 145 questions for data scientists in software engineering,115
Analyzing APIs documentation and code to detect directive defects,27
Analyzing Critical Decision-Based Processes,8
Analyzing critical process models through behavior model synthesis,40
Analyzing multi-agent systems with probabilistic model checking approach,8
Analyzing security architectures,25
Analyzing temporal API usage patterns,29
Analyzing temporal properties of abstract models,1
Analyzing the Effect of Gain Time on Soft-Task Scheduling Policies in Real-Time Systems,6
Analyzing the change-proneness of service-oriented systems from an industrial perspective,3
Analyzing the effects of test driven development in GitHub,6
Android testing via synthetic symbolic execution,2
Angelix: scalable multiline program patch synthesis via symbolic analysis,199
Angels and monsters: an empirical investigation of potential test effectiveness and efficiency improvement from strongly subsuming higher order mutation,35
AnswerBot: automated generation of answer summary to developersź technical questions,13
Ant Colony Optimization for Software Project Scheduling and Staffing with an Event-Based Scheduler,139
AntMiner: mining more bugs by reducing noise interference,18
Api hyperlinking via structural overlap,53
AppContext: differentiating malicious and benign mobile app behaviors using context,169
"AppFlow: using machine learning to synthesize robust, reusable UI tests",0
Applications of psychological science for actionable analytics,6
Applying combinatorial test data generation to big data applications,13
Approaches to Co-Evolution of Metamodels and Models: A Survey,19
Apt-pbo: solving the software dependency problem using pseudo-boolean optimization,28
Archface: a contract place where architectural design and code meet together,70
Architecture-Based Reliability Prediction with the Palladio Component Model,104
Architecture-Level Configuration of Large-Scale Embedded Software Systems,10
Architecture-centric support for adaptive service collaborations,23
"Are ""non-functional"" requirements really non-functional?: an investigation of non-functional requirements in practice",38
Are Fix-Inducing Changes a Moving Target? A Longitudinal Case Study of Just-In-Time Defect Prediction,15
Are Slice-Based Cohesion Metrics Actually Useful in Effort-Aware Post-Release Fault-Proneness Prediction? An Empirical Study,26
Are code examples on an online Q&A forum reliable?: a study of API misuse on stack overflow,31
Are deep neural networks the best choice for modeling source code?,62
Are developers aware of the architectural impact of their changes?,13
Are fix-inducing changes a moving target?: a longitudinal case study of just-in-time defect prediction,15
Are mutation scores correlated with real fault detection?: a large scale empirical study on the relationship between mutants and real faults,20
Are students representatives of professionals in software engineering experiments?,130
Are your incoming aliases really necessary? counting the cost of object ownership,10
Array length inference for C library bindings,4
AsDroid: detecting stealthy behaviors in Android applications by user interface and program behavior contradiction,171
Asking and answering questions about unfamiliar APIs: an exploratory study,75
Aspect-Oriented Race Detection in Java,35
Aspect-Oriented Refactoring of Legacy Applications: An Evaluation,37
Aspectizing Java Access Control,24
Assert use in GitHub projects,31
Asserting and checking determinism for multithreaded programs,86
Assertion guided abstraction: a cooperative optimization for dynamic partial order reduction,19
Assertion guided symbolic execution of multithreaded programs,30
Assertions are strongly correlated with test suite effectiveness,40
Assessing Software Service Quality and Trustworthiness at Selection Time,146
Assessing the Cost Effectiveness of Fault Prediction in Acceptance Testing,47
Assessing the Effect of Screen Mockups on the Comprehension of Functional Requirements,25
Assessing the Effectiveness of Sequence Diagrams in the Comprehension of Functional Requirements: Results from a Family of Five Experiments,54
Assessing the Refactorability of Software Clones,37
Assessing the Refactoring of Brain Methods,0
Assessing the threat of untracked changes in software evolution,3
Assessing the type annotation burden,1
"Assessing, Comparing, and Combining State Machine-Based Testing and Structural Testing: A Series of Experiments",72
Assigning time budgets to component functions in the design of time-critical automotive systems,9
Assisting developers of big data analytics applications when deploying on hadoop clouds,100
Asymptotic Perturbation Bounds for Probabilistic Model Checking with Empirically Determined Probability Parameters,10
AtexRace: across thread and execution sampling for in-house race detection,0
Atomicity Analysis of Service Composition across Organizations,40
Attributed variability models: outside the comfort zone,11
Augmenting API documentation with insights from stack overflow,84
Augmenting Field Data for Testing Systems Subject to Incremental Requirements Changes,4
Augusto: exploiting popular functionalities for the generation of semantic GUI tests with Oracles,3
Auto-completing bug reports for Android applications,48
Auto-locating and fix-propagating for HTML validation errors to PHP server-side code,37
Auto-patching DOM-based XSS at scale,17
AutoCSP: automatically retrofitting CSP to web applications,20
AutoConfig: automatic configuration tuning for distributed message systems,1
AutoSense: A Framework for Automated Sensitivity Analysis of Program Data,5
Autofolding for Source Code Summarization,17
Automated API Property Inference Techniques,130
Automated Abstractions for Contract Validation,34
Automated Checking of Conformance to Requirements Templates Using Natural Language Processing,64
Automated Comparison of State-Based Software Models in Terms of Their Language and Structure,18
Automated Detection of Client-State Manipulation Vulnerabilities,16
Automated Extraction and Clustering of Requirements Glossary Terms,8
Automated Fixing of Programs with Contracts,87
Automated Oracle Data Selection Support,16
Automated Steering of Model-Based Test Oracles to Admit Real Program Behaviors,7
Automated Support for Reproducing and Debugging Field Failures,5
Automated Synthesis and Dynamic Analysis of Tradeoff Spaces for Object-Relational Mapping,6
Automated Synthesis of Mediators to Support Component Interoperability,32
Automated Test Case Generation as a Many-Objective Optimisation Problem with Dynamic Selection of the Targets,44
Automated Trace Analysis of Discrete-Event System Models,42
Automated analysis of CSS rules to support style maintenance,48
Automated analysis of multithreaded programs for performance modeling,4
Automated control of multiple software goals using multiple actuators,12
Automated cookie collection testing,12
Automated cross-platform inconsistency detection for mobile apps,14
Automated data structure generation: refuting common wisdom,6
Automated decomposition of build targets,22
Automated design of self-adaptive software with control-theoretical formal guarantees,124
Automated detection of client-state manipulation vulnerabilities,16
Automated diagnosis of software configuration errors,94
Automated directed fairness testing,5
Automated documentation inference to explain failed tests,52
Automated domain-specific C verification with mbeddr,16
Automated energy optimization of HTTP requests for mobile applications,57
Automated extraction of architecture-level performance models of distributed component-based systems,79
Automated goal operationalisation based on interpolation and SAT solving,12
Automated inference of goal-oriented performance prediction functions,43
Automated localization for unreproducible builds,3
Automated memory leak detection for production use,26
Automated model repair for Alloy,8
Automated model-based Android GUI testing using multi-level GUI comparison criteria,48
Automated modularization of GUI test cases,4
Automated multi-objective control for self-adaptive software design,52
"Automated oracle creation support, or: how I learned to stop worrying about fault propagation and love mutation testing",64
Automated oracles: an empirical study on cost and effectiveness,24
Automated parameter optimization of classification techniques for defect prediction models,126
Automated partitioning of android applications for trusted execution environments,20
Automated patch extraction via syntax- and semantics-aware Delta debugging on source code changes,2
Automated planning for feature model configuration based on stakeholders' business concerns,63
Automated planning for software architecture evolution,22
Automated refactoring of legacy Java software to default methods,8
Automated reliability estimation over partial systematic explorations,14
Automated repair of HTML generation errors in PHP applications using string constraint solving,104
Automated repair of mobile friendly problems in web pages,8
Automated reporting of GUI design violations for mobile apps,21
Automated requirements analysis for a molecular watchdog timer,15
Automated security testing of web widget interactions,41
Automated software architecture security risk analysis using formalized signatures,55
Automated support for repairing input-model faults,13
Automated synthesis and deployment of cloud applications,30
Automated test suite generation for time-continuous simulink models,41
Automated transplantation and differential testing for clones,15
Automated unit test generation for classes with environment dependencies,31
Automated unit testing of large industrial embedded software using concolic testing,38
Automated variability analysis and testing of an E-commerce site.: an experience report,11
Automated verification of interactive rule-based configuration systems,5
Automated verification of pattern-based interaction invariants in Ajax applications,4
Automated web application testing using search based software engineering,101
Automatic Contract Insertion with CCBot,4
Automatic Detection and Resolution of Lexical Ambiguity in Process Models,45
Automatic Detection of Unsafe Dynamic Component Loadings,11
Automatic Extraction of Heap Reference Properties in Object-Oriented Programs,6
Automatic Software Refactoring via Weighted Clustering in Method-Level Networks,1
Automatic Source Code Summarization of Context for Java Methods,41
Automatic Summarization of Bug Reports,76
Automatic Workarounds: Exploiting the Intrinsic Redundancy of Web Applications,13
Automatic creation of SQL Injection and cross-site scripting attacks,395
Automatic detection of nocuous coordination ambiguities in natural language requirements,50
Automatic dimension inference and checking for object-oriented programs,16
Automatic generation of inter-component communication exploits for Android applications,14
Automatic generation of load tests,78
Automatic inference of code transforms for patch generation,54
Automatic input rectification,56
Automatic loop-invariant generation and refinement through selective sampling,3
Automatic microbenchmark generation to prevent dead code elimination and constant folding,4
Automatic model generation from documentation for Java API functions,22
Automatic parameter recommendation for practical API usage,90
Automatic patch generation learned from human-written patches,382
Automatic query performance assessment during the retrieval of software artifacts,35
Automatic query reformulations for text retrieval in software engineering,128
Automatic recommendation of API methods from feature requests,52
Automatic recovery from runtime failures,86
Automatic runtime recovery via error handler synthesis,9
Automatic steering of behavioral model inference,98
Automatic summarization of API reviews,16
Automatic synthesis of behavior protocols for composable web-services,153
Automatic synthesis of modular connectors via composition of protocol mediation patterns,40
Automatic testing of sequential and concurrent substitutability,19
Automatic testing of symbolic execution engines via program generation and differential testing,9
Automatic text input generation for mobile testing,21
Automatic verification of interactions in asynchronous systems with unbounded buffers,16
Automatically Detecting and Tracking Inconsistencies in Software Design Models,113
Automatically Generating Test Cases for Specification Mining,61
Automatically Recommending Peer Reviewers in Modern Code Review,40
Automatically analyzing groups of crashes for finding correlations,4
Automatically assessing code understandability: how far are we?,11
Automatically capturing source code context of NL-queries for software maintenance and reuse,189
Automatically computing path complexity of programs,6
Automatically deriving pointer reference expressions from binary code for memory dump analysis,4
Automatically diagnosing and repairing error handling bugs in C,13
Automatically documenting program changes,114
Automatically finding bugs in a commercial cyber-physical system development tool chain with SLforge,3
Automatically finding patches using genetic programming,575
Automatically finding performance problems with feedback-directed learning software testing,94
Automatically generating commit messages from diffs using neural machine translation,38
Automatically generating search heuristics for concolic testing,6
Automatically learning semantic features for defect prediction,146
Automatically partition software into least privilege components using dynamic data dependency analysis,21
Automatically recommending code reviewers based on their expertise: an empirical comparison,8
Automatically reducing tree-structured test inputs,11
Automatically securing permission-based software by reducing the attack surface: an application to Android,138
Automatically synthesizing SQL queries from input-output examples,31
Automatically testing implementations of numerical abstract domains,2
Automating Live Update for Generic Server Programs,7
Automating regression verification,69
Automating test automation,76
Automating the formalization of product comparison matrices,19
"Awareness 2.0: staying aware of projects, developers and tasks using dashboards and feeds",116
Axis: automatically fixing atomicity violations through solving control constraints,72
BALLERINA: automatic generation and clustering of efficient random unit tests for multithreaded code,51
BDCI: behavioral driven conflict identification,0
BLISS: Improved Symbolic Execution by Bounded Lazy Initialization with SAT Support,22
BLITZ: compositional bounded model checking for real-world programs,27
BProVe: a formal verification framework for business process models,12
BURN: Enabling Workload Burstiness in Customized Service Benchmarks,14
Backward-compatible constant-time exception-protected memory,3
Balancing Privacy and Utility in Cross-Company Defect Prediction,69
Balancing soundness and efficiency for practical testing of configurable systems,9
Bayesian Approaches to Matching Architectural Diagrams,12
Bayesian Networks For Evidence-Based Decision-Making in Software Engineering,39
Bayesian inference using data flow analysis,46
Bayesian specification learning for finding API usage errors,20
Be careful of when: an empirical study on time-related misuse of issue tracking data,2
Becoming agile: a grounded theory of agile transitions in practice,38
Behavioral automata composition for automatic topology independent verification of parameterized systems,17
Behavioral resource-aware model inference,40
Behavioral validation of JFSL specifications through model synthesis,1
Belief & evidence in empirical software engineering,75
Better Debugging via Output Tracing and Callstack-Sensitive Slicing,42
Better test cases for better automated program repair,34
Beyond boolean product-line model checking: dealing with feature attributes and multi-features,80
Bidirectional Symbolic Analysis for Effective Branch Testing,14
BigDebug: debugging primitives for interactive big data processing in spark,37
Billions and billions of constraints: whitebox fuzz testing in production,136
"Bita: Coverage-guided, automatic testing of actor programs",27
Black-Box String Test Case Generation through a Multi-Objective Optimization,14
Boa: Ultra-Large-Scale Software Repository and Source-Code Mining,44
Boa: a language and infrastructure for analyzing ultra-large-scale software repositories,235
Boosting complete-code tool for partial program,8
Boosting concolic testing via interpolation,47
Borrowing from the crowd: a study of recombination in software design competitions,25
Bounded satisfiability checking of metric temporal logic specifications,42
Break the dead end of dynamic slicing: localizing data and control omission bug,1
Bridging the gap between the total and additional test-case prioritization strategies,119
Bristlecone: Language Support for Robust Software Applications,10
Broken sets in software repository evolution,18
Brownout: building more robust cloud applications,117
Bug prediction based on fine-grained module histories,80
Bug synthesis: challenging bug-finding tools with deep faults,3
BugRedux: reproducing field failures for in-house debugging,147
Bugram: bug detection with n-gram language models,37
Build code analysis with symbolic evaluation,52
Build it yourself!: homegrown tools in a large software company,11
Building a theory of job rotation in software engineering from an instrumental case study,9
Building it together: synchronous development in OSS,28
Business Process Model Merging: An Approach to Business Process Consolidation,216
Bypassing the Combinatorial Explosion: Using Similarity to Generate and Prioritize T-Wise Test Configurations for Software Product Lines,133
C2O: a tool for guided decision-making,16
CACheck: Detecting and Repairing Cell Arrays in Spreadsheets,14
CARE: cache guided deterministic replay for concurrent Java programs,22
CBCD: cloned buggy code detector,84
CCAligner: a token based large-gap clone detector,10
CHARMY: A Framework for Designing and Verifying Architectural Specifications,73
CLAPP: characterizing loops in Android applications,31
CLOTHO: saving programs from malformed strings and incorrect string-handling,4
COVERT: Compositional Analysis of Android Inter-App Permission Leakage,81
CUSTODES: automatic spreadsheet cell clustering and smell detection using strong and weak features,119
Cachetor: detecting cacheable data to remove bloat,49
Can I clone this piece of code here?,50
Can automated pull requests encourage software developers to upgrade out-of-date dependencies?,23
Can latent topics in source code predict missing architectural tactics?,1
Capacity planning for event-based systems using automated performance predictions,12
Capsule-Based User Interface Modeling for Large-Scale Applications,7
Capturing propagation of infected program states,126
Caramel: detecting and fixing performance problems that have non-intrusive fixes,80
Carving and Replaying Differential Unit Test Cases from System Test Cases,47
Cascade: a universal programmer-assisted type qualifier inference tool,9
Cascading verification: an integrated method for domain-specific model checking,9
Case studies and tools for contract specifications,21
Cassandra: proactive conflict minimization through optimized task scheduling,48
Categorizing bugs with social networks: a case study on four open source software communities,86
Centroidal Voronoi Tessellations- A New Approach to Random Testing,50
Characteristic studies of loop problems for structural test generation via symbolic execution,47
Characterizing and detecting anti-patterns in the logging code,20
Characterizing and detecting performance bugs for smartphone applications,170
Characterizing and detecting resource leaks in android applications,73
Characterizing and identifying misexposed activities in Android applications,1
Characterizing and predicting which bugs get fixed: an empirical study of Microsoft Windows,221
Characterizing and predicting which bugs get reopened,120
Characterizing logging practices in open-source software,115
Characterizing the natural language descriptions in software logging statements,3
Checking app behavior against app descriptions,297
"Choosing Component Origins for Software Intensive Systems: In-House, COTS, OSS or Outsourcing?—A Case Survey",17
Chopped symbolic execution,11
Chronicler: lightweight recording to reproduce field failures,41
Cimplifier: automatically debloating containers,11
Cina: Suppressing the Detection of Unstable Context Inconsistency,7
ClDiff: generating concise linked code differences,4
Clarifications on the Construction and Use of the ManyBugs Benchmark,1
"Class Schema Evolution for Persistent Object-Oriented Software: Model, Empirical Study, and Automated Support",9
Classifying developers into core and peripheral: an empirical study on count and network metrics,33
Client-specific equivalence checking,0
Clone Management for Evolving Software,102
Clone refactoring with lambda expressions,15
Clone region descriptors: Representing and tracking duplication in source code,82
Clone-based and interactive recommendation for modifying pasted code,9
CloneDetective - A workbench for clone detection research,125
CloudRaid: hunting concurrency bugs in the cloud via log-mining,2
Code anomalies flock together: exploring code anomaly agglomerations for locating design problems,40
Code bubbles: rethinking the user interface paradigm of integrated development environments,137
Code coverage for suite evaluation by developers,86
Code defenders: crowdsourcing effective tests and subtle mutants with a mutation testing game,15
Code patterns for automatically validating requirements-to-code traces,23
Code review quality: how developers see it,38
Code reviews do not find bugs: how the current code review best practice slows us down,27
Code vectors: understanding programs through embedded abstracted symbolic traces,13
Code-Smell Detection as a Bilevel Problem,44
CodeCarbonCopy,11
CodeHint: dynamic and interactive synthesis of code snippets,80
